# MAG-FI RAW MAPPING DATA
# Mapper: Shanteshwar
# Building: 1
# Floor: 3
# Exported: 20260523_084454
# Total rows: 150

timestamp,step_count,pos_x,pos_y,heading,mag_x,mag_y,mag_z,wifi_payload
1779506010806,40,17.24,22.96,45.6,17.39,17.62,1.13,"{"VIT_STUDENT": -54; "VIT_Staff": -55; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_TPO": -57}"
1779506011207,41,17.72,23.50,48.1,17.71,20.00,2.05,"{"VIT_Staff": -57; "VIT_TPO": -57; "VIT_VIP": -57; "VIT_Staff": -57; "VIT_TPO": -57}"
1779506011524,41,17.72,23.50,49.1,18.10,20.90,3.29,"{"VIT_Staff": -57; "VIT_TPO": -57; "VIT_VIP": -57; "VIT_Staff": -57; "VIT_TPO": -57}"
1779506011575,42,18.19,24.04,49.1,18.18,20.89,3.44,"{"VIT_Staff": -57; "VIT_TPO": -57; "VIT_VIP": -57; "VIT_Staff": -57; "VIT_TPO": -57}"
1779506011992,43,18.67,24.58,47.6,17.63,19.35,4.21,"{"VIT_Staff": -57; "VIT_TPO": -57; "VIT_VIP": -57; "VIT_Staff": -57; "VIT_TPO": -57}"
1779506012527,43,18.67,24.58,53.7,16.40,22.50,1.33,"{"VIT_Staff": -57; "VIT_TPO": -57; "VIT_VIP": -57; "VIT_Staff": -57; "VIT_TPO": -57}"
1779506012594,44,19.10,25.16,53.9,16.36,22.56,1.19,"{"VIT_Staff": -57; "VIT_TPO": -57; "VIT_VIP": -57; "VIT_Staff": -57; "VIT_TPO": -57}"
1779506012946,45,19.53,25.73,53.2,17.28,22.99,3.73,"{"VIT_Staff": -57; "VIT_TPO": -57; "VIT_VIP": -57; "VIT_Staff": -57; "VIT_TPO": -57}"
1779506013531,45,19.53,25.73,54.1,16.73,23.45,1.65,"{"VIT_Staff": -57; "VIT_TPO": -57; "VIT_VIP": -57; "VIT_Staff": -57; "VIT_TPO": -57}"
1779506013545,46,19.95,26.32,54.3,16.76,23.62,1.66,"{"VIT_Staff": -57; "VIT_TPO": -57; "VIT_VIP": -57; "VIT_Staff": -57; "VIT_TPO": -57}"
1779506013898,47,20.37,26.90,54.2,16.97,22.78,2.78,"{"VIT_Staff": -57; "VIT_TPO": -57; "VIT_VIP": -57; "VIT_Staff": -57; "VIT_TPO": -57}"
1779506014365,48,20.82,27.46,51.1,16.12,20.24,1.53,"{"VIT_Staff": -57; "VIT_TPO": -57; "VIT_VIP": -57; "VIT_Staff": -57; "VIT_TPO": -57}"
1779506014532,48,20.82,27.46,54.0,14.58,21.03,-0.92,"{"VIT_Staff": -57; "VIT_TPO": -57; "VIT_VIP": -57; "VIT_Staff": -57; "VIT_TPO": -57}"
1779506014885,49,21.20,28.07,57.9,13.23,20.56,-2.13,"{"VIT_Staff": -57; "VIT_TPO": -57; "VIT_VIP": -57; "VIT_Staff": -57; "VIT_TPO": -57}"
1779506015404,50,21.63,28.65,53.8,14.86,20.13,-1.57,"{"VIT_Staff": -57; "VIT_TPO": -57; "VIT_VIP": -57; "VIT_Staff": -57; "VIT_TPO": -57}"
1779506015535,50,21.63,28.65,53.7,14.77,20.57,-1.73,"{"VIT_Staff": -57; "VIT_TPO": -57; "VIT_VIP": -57; "VIT_Staff": -57; "VIT_TPO": -57}"
1779506016135,51,21.99,29.28,60.5,14.62,24.59,-5.43,"{"VIT_Staff": -57; "VIT_TPO": -57; "VIT_VIP": -57; "VIT_Staff": -57; "VIT_TPO": -57}"
1779506016539,51,21.99,29.28,53.4,13.64,17.91,-4.75,"{"VIT_Staff": -57; "VIT_TPO": -57; "VIT_VIP": -57; "VIT_Staff": -57; "VIT_TPO": -57}"
