# MAG-FI RAW MAPPING DATA
# Mapper: Shant
# Building: 1
# Floor: 3
# Exported: 20260521_173715
# Total rows: 100

timestamp,step_count,pos_x,pos_y,heading,mag_x,mag_y,mag_z,wifi_payload
1779365221715,39,27.53,-5.38,348.2,56.39,-11.87,-25.66,"{"VIT_TPO": -60; "VIT_Staff": -58; "VIT_VIP": -60; "VIT_Staff": -58; "VIT_STUDENT": -57}"
1779365222416,40,28.23,-5.55,346.6,56.66,-13.46,-28.26,"{"VIT_TPO": -60; "VIT_Staff": -58; "VIT_VIP": -60; "VIT_Staff": -58; "VIT_STUDENT": -57}"
1779365222719,40,28.23,-5.55,348.3,58.57,-11.62,-27.17,"{"VIT_STUDENT": -56; "VIT_TPO": -57; "VIT_Staff": -56; "VIT_VIP": -55; "VIT_VIP": -55}"
1779365223721,40,28.23,-5.55,345.9,58.25,-14.67,-23.32,"{"VIT_STUDENT": -56; "VIT_TPO": -57; "VIT_Staff": -56; "VIT_VIP": -55; "VIT_VIP": -55}"
1779365223738,41,28.93,-5.73,345.9,58.14,-14.66,-23.47,"{"VIT_STUDENT": -56; "VIT_TPO": -57; "VIT_Staff": -56; "VIT_VIP": -55; "VIT_VIP": -55}"
1779365224273,42,29.63,-5.89,347.1,57.33,-13.25,-21.70,"{"VIT_STUDENT": -56; "VIT_TPO": -57; "VIT_Staff": -56; "VIT_VIP": -55; "VIT_VIP": -55}"
1779365224722,42,29.63,-5.89,343.0,55.07,-17.10,-19.33,"{"VIT_STUDENT": -56; "VIT_TPO": -57; "VIT_Staff": -56; "VIT_VIP": -55; "VIT_VIP": -55}"
1779365225724,42,29.63,-5.89,345.7,53.78,-13.70,-22.14,"{"VIT_STUDENT": -56; "VIT_TPO": -57; "VIT_Staff": -56; "VIT_VIP": -55; "VIT_VIP": -55}"
1779365225759,43,30.33,-6.06,345.7,53.78,-13.70,-22.16,"{"VIT_STUDENT": -56; "VIT_TPO": -57; "VIT_Staff": -56; "VIT_VIP": -55; "VIT_VIP": -55}"
1779365226729,43,30.33,-6.06,345.4,53.19,-13.37,-23.62,"{"VIT_VIP": -57; "VIT_VIP": -57; "VIT_TPO": -59; "VIT_STUDENT": -57; "VIT_TPO": -59}"
1779365226894,44,31.03,-6.23,346.9,54.18,-12.36,-23.99,"{"VIT_VIP": -57; "VIT_VIP": -57; "VIT_TPO": -59; "VIT_STUDENT": -57; "VIT_TPO": -59}"
1779365227546,45,31.72,-6.41,345.0,54.61,-14.76,-20.77,"{"VIT_VIP": -57; "VIT_VIP": -57; "VIT_TPO": -59; "VIT_STUDENT": -57; "VIT_TPO": -59}"
1779365227729,45,31.72,-6.41,345.2,54.41,-14.04,-22.09,"{"VIT_VIP": -57; "VIT_VIP": -57; "VIT_TPO": -59; "VIT_STUDENT": -57; "VIT_TPO": -59}"
1779365228247,46,32.42,-6.58,346.4,54.21,-13.13,-23.07,"{"VIT_VIP": -57; "VIT_VIP": -57; "VIT_TPO": -59; "VIT_STUDENT": -57; "VIT_TPO": -59}"
